level,breakdown,group,correct,total,accuracy_pct
reasoning_1,overall,all,370,598,61.87
reasoning_2,overall,all,364,601,60.57
reasoning_3,overall,all,307,601,51.08
reasoning_4,overall,all,261,601,43.43
reasoning_5,overall,all,252,601,41.93
reasoning_1,section,freshman_sophomore_test,150,245,61.22
reasoning_2,section,freshman_sophomore_test,157,246,63.82
reasoning_3,section,freshman_sophomore_test,144,246,58.54
reasoning_4,section,freshman_sophomore_test,110,246,44.72
reasoning_5,section,freshman_sophomore_test,114,246,46.34
reasoning_1,section,junior_senior_test,158,245,64.49
reasoning_2,section,junior_senior_test,150,246,60.98
reasoning_3,section,junior_senior_test,129,246,52.44
reasoning_4,section,junior_senior_test,115,246,46.75
reasoning_5,section,junior_senior_test,113,246,45.93
reasoning_1,section,two_person_speed_event,62,108,57.41
reasoning_2,section,two_person_speed_event,57,109,52.29
reasoning_3,section,two_person_speed_event,34,109,31.19
reasoning_4,section,two_person_speed_event,36,109,33.03
reasoning_5,section,two_person_speed_event,25,109,22.94
reasoning_1,year,2011,19,34,55.88
reasoning_2,year,2011,19,34,55.88
reasoning_3,year,2011,14,34,41.18
reasoning_4,year,2011,12,34,35.29
reasoning_5,year,2011,12,34,35.29
reasoning_1,year,2012,28,46,60.87
reasoning_2,year,2012,24,47,51.06
reasoning_3,year,2012,24,47,51.06
reasoning_4,year,2012,16,47,34.04
reasoning_5,year,2012,19,47,40.43
reasoning_1,year,2013,21,43,48.84
reasoning_2,year,2013,24,44,54.55
reasoning_3,year,2013,20,44,45.45
reasoning_4,year,2013,19,44,43.18
reasoning_5,year,2013,21,44,47.73
reasoning_1,year,2014,25,42,59.52
reasoning_2,year,2014,23,43,53.49
reasoning_3,year,2014,22,43,51.16
reasoning_4,year,2014,19,43,44.19
reasoning_5,year,2014,15,43,34.88
reasoning_1,year,2015,27,38,71.05
reasoning_2,year,2015,22,38,57.89
reasoning_3,year,2015,13,38,34.21
reasoning_4,year,2015,16,38,42.11
reasoning_5,year,2015,16,38,42.11
reasoning_1,year,2016,24,43,55.81
reasoning_2,year,2016,28,43,65.12
reasoning_3,year,2016,22,43,51.16
reasoning_4,year,2016,13,43,30.23
reasoning_5,year,2016,16,43,37.21
reasoning_1,year,2017,32,43,74.42
reasoning_2,year,2017,34,43,79.07
reasoning_3,year,2017,31,43,72.09
reasoning_4,year,2017,25,43,58.14
reasoning_5,year,2017,22,43,51.16
reasoning_1,year,2018,22,38,57.89
reasoning_2,year,2018,16,38,42.11
reasoning_3,year,2018,18,38,47.37
reasoning_4,year,2018,11,38,28.95
reasoning_5,year,2018,12,38,31.58
reasoning_1,year,2019,16,23,69.57
reasoning_2,year,2019,16,23,69.57
reasoning_3,year,2019,13,23,56.52
reasoning_4,year,2019,13,23,56.52
reasoning_5,year,2019,9,23,39.13
reasoning_1,year,2020,17,33,51.52
reasoning_2,year,2020,22,33,66.67
reasoning_3,year,2020,21,33,63.64
reasoning_4,year,2020,15,33,45.45
reasoning_5,year,2020,17,33,51.52
reasoning_1,year,2021,23,37,62.16
reasoning_2,year,2021,27,37,72.97
reasoning_3,year,2021,18,37,48.65
reasoning_4,year,2021,16,37,43.24
reasoning_5,year,2021,18,37,48.65
reasoning_1,year,2022,26,47,55.32
reasoning_2,year,2022,28,47,59.57
reasoning_3,year,2022,23,47,48.94
reasoning_4,year,2022,28,47,59.57
reasoning_5,year,2022,17,47,36.17
reasoning_1,year,2023,26,44,59.09
reasoning_2,year,2023,27,44,61.36
reasoning_3,year,2023,23,44,52.27
reasoning_4,year,2023,23,44,52.27
reasoning_5,year,2023,17,44,38.64
reasoning_1,year,2024,31,44,70.45
reasoning_2,year,2024,28,44,63.64
reasoning_3,year,2024,21,44,47.73
reasoning_4,year,2024,13,44,29.55
reasoning_5,year,2024,18,44,40.91
reasoning_1,year,2025,33,43,76.74
reasoning_2,year,2025,26,43,60.47
reasoning_3,year,2025,24,43,55.81
reasoning_4,year,2025,22,43,51.16
reasoning_5,year,2025,23,43,53.49
